ArmorDamageModifier,Category,CriticalDamageModifier,Description.Cost,Description.Details,Description.Icon,Description.Id,Description.Name,Description.Purchasable,Description.Rarity,Description.UIName,HeatGenerated,HeatGeneratedModifier,HideIfOnlyVariant,ISDamageModifier,Type,AIBattleValue,AOECapable,AOEDamage,AOEHeatDamage,AOERange,AdditionalImpactVFX,AdditionalImpactVFXScaleX,AdditionalImpactVFXScaleY,AdditionalImpactVFXScaleZ,ColorChangeRule,ColorSpeedChange,ColorsTable,DamagePerShot,FireTerrainChance,HeatDamagePerShot,statusEffects,APCriticalChanceMultiplier,APDamage,AccuracyModifier,CriticalChanceMultiplier,DamageMultiplier,FlatJammingChance,RefireModifier,ChassisTagsAccuracyModifiers.unit_vtol,EvasivePipsIgnored,AMSDamage,ShotsWhenFired,AOEInstability,ClearMineFieldRadius,FireDurationWithoutForest,FireOnSuccessHit,FireTerrainCellRadius,FireTerrainStrength,MissileHealth,MineField.AOEDamage,MineField.AOEHeat,MineField.AOEInstability,MineField.AOERange,MineField.Chance,MineField.Count,MineField.Damage,MineField.FireDurationWithoutForest,MineField.FireOnSuccessHit,MineField.FireTerrainChance,MineField.FireTerrainStrength,MineField.Heat,MineField.InstallCellRange,MineField.SFX,MineField.VFXMinDistance,MineField.VFXprefab,MineField.statusEffects,MineField.FireTerrainCellRadius,DirectFireModifier,AMSHitChance,CanBeExhaustedAt,MaxMissRadius,MinMissRadius,tempDesignMaskCellRadius,tempDesignMaskOnImpact,tempDesignMaskOnImpactTurns,Instability,LongRange,MaxRange,MiddleRange,ProjectileSpeedMultiplier,ShortRange,MinRange,WeaponEffectID,AlwaysIndirectVisuals,ChassisTagsAccuracyModifiers.unit_powerarmor,HitGenerator,CantHitUnaffecedByPathing,ClusteringModifier,DistantVariance,Streak,SpreadRange,MineField.CantHitUnaffecedByPathing,Unguided,HasShells,MaxShellsDistance,MinShellsDistance,ProjectilesPerShot,UnseparatedDamageMult,IndirectFireCapable,ShellsRadius,LongVFXOnImpact,LongVFXOnImpactScaleX,LongVFXOnImpactScaleY,LongVFXOnImpactScaleZ,APArmorShardsMod,APMaxArmorThickness,deferredEffect.AOEDamage,deferredEffect.AOEHeatDamage,deferredEffect.AOEInstability,deferredEffect.AOERange,deferredEffect.FireDurationWithoutForest,deferredEffect.FireTerrainCellRadius,deferredEffect.FireTerrainChance,deferredEffect.FireTerrainStrength,deferredEffect.RangeColor,deferredEffect.SFX,deferredEffect.TerrainVFX,deferredEffect.TerrainVFXScale,deferredEffect.VFX,deferredEffect.VFXtime,deferredEffect.damageApplyTime,deferredEffect.id,deferredEffect.rounds,deferredEffect.statusEffects,deferredEffect.statusEffectsRangeFalloff,deferredEffect.sticky,deferredEffect.tempDesignMask,deferredEffect.tempDesignMaskCellRadius,deferredEffect.tempDesignMaskTurns,deferredEffect.text,deferredEffect.waitVFX,ChassisTagsAccuracyModifiers.unit_mech,ChassisTagsAccuracyModifiers.unit_vehicle,DamageVariance,ProjectileScale.x,ProjectileScale.y,ProjectileScale.z,isDamageVariation,isStabilityVariation,IsAAMS,IsAMS,DistantVarianceReversed,AlternateDamageCalc,DisableClustering,ammoCategoryID,ammunitionTypeID
1,RAPLBGR,1,0,null,null,Ammunition_RAPLBGR,R-AP-LBGR Ammo,false,0,Normal,0,1,true,1,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TBOLT20,1,0,"Long range missiles, capable of dealing moderate damage at long range. Each missile lacks punch, but in a group they can deal significant damage.",null,Ammunition_TBOLT20_NEMP,Thunderbolt 20 NEMP Ammo,false,0,NEMP,0,1,,1,Normal,90,true,1,20,90,WFX_Nuke,1,1,1,t0,5,"[{""C"":""#DE6437"",""I"":5}]",-99,0.1,50,"[{""Description"":{""Details"":""This unit is coated with burning chemicals. Heatsink efficiency reduced by 20."",""Icon"":""uixSvgIcon_biome_Heated"",""Id"":""Effect_Thermobolt"",""Name"":""Thermobaric Explosion""},""durationData"":{""clearedWhenAttacked"":false,""duration"":2,""stackLimit"":-1,""ticksOnActivations"":true,""ticksOnEndOfRound"":false,""ticksOnMovements"":false,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""nature"":""Debuff"",""statisticData"":{""modType"":""System.Int32"",""modValue"":""20"",""operation"":""Int_Subtract"",""statName"":""HeatSinkCapacity""},""targetingData"":{""effectTargetType"":""NotSet"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":2,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":true,""showInTargetPreview"":true,""specialRules"":""NotSet"",""triggerLimit"":0}},{""Description"":{""Details"":""The Mech's Systems have been scrambled."",""Icon"":""uixSvgIcon_shipUpgrade_power2"",""Id"":""TSEMP-Effect"",""Name"":""TSEMP""},""actorBurningData"":null,""durationData"":{""clearedWhenAttacked"":false,""duration"":2,""stackLimit"":6,""ticksOnActivations"":true,""ticksOnEndOfRound"":false,""ticksOnMovements"":false,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""floatieData"":null,""instantModData"":null,""nature"":""Debuff"",""poorlyMaintainedEffectData"":null,""statisticData"":{""additionalRules"":""NotSet"",""appliesEachTick"":false,""effectsPersistAfterDestruction"":false,""modType"":""System.Single"",""modValue"":""2.0"",""operation"":""Float_Add"",""statName"":""AccuracyModifier"",""targetAmmoCategory"":""NotSet"",""targetCollection"":""NotSet"",""targetWeaponCategory"":""NotSet"",""targetWeaponSubType"":""NotSet"",""targetWeaponType"":""NotSet""},""tagData"":null,""targetingData"":{""effectTargetType"":""NotSet"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":true,""showInTargetPreview"":false,""specialRules"":""NotSet"",""triggerLimit"":0},""vfxData"":null},{""Description"":{""Details"":""The Mech's Movement is reduced."",""Icon"":""uixSvgIcon_status_sensorsImpaired"",""Id"":""TSEMP-Effect1"",""Name"":""Walk Impaired""},""actorBurningData"":null,""durationData"":{""clearedWhenAttacked"":false,""duration"":2,""stackLimit"":6,""ticksOnActivations"":true,""ticksOnEndOfRound"":false,""ticksOnMovements"":false,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""floatieData"":null,""instantModData"":null,""nature"":""Debuff"",""poorlyMaintainedEffectData"":null,""statisticData"":{""additionalRules"":""NotSet"",""appliesEachTick"":false,""effectsPersistAfterDestruction"":false,""modType"":""System.Single"",""modValue"":""0.6"",""operation"":""Float_Multiply"",""statName"":""WalkSpeed"",""targetAmmoCategory"":""NotSet"",""targetCollection"":""NotSet"",""targetWeaponCategory"":""NotSet"",""targetWeaponSubType"":""NotSet"",""targetWeaponType"":""NotSet""},""tagData"":null,""targetingData"":{""effectTargetType"":""NotSet"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":false,""showInTargetPreview"":false,""specialRules"":""NotSet"",""triggerLimit"":0},""vfxData"":null},{""Description"":{""Details"":""The Mech's Movement is reduced."",""Icon"":""uixSvgIcon_status_sensorsImpaired"",""Id"":""TSEMP-Effect2"",""Name"":""Move Impaired""},""actorBurningData"":null,""durationData"":{""clearedWhenAttacked"":false,""duration"":2,""stackLimit"":6,""ticksOnActivations"":true,""ticksOnEndOfRound"":false,""ticksOnMovements"":false,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""floatieData"":null,""instantModData"":null,""nature"":""Debuff"",""poorlyMaintainedEffectData"":null,""statisticData"":{""additionalRules"":""NotSet"",""appliesEachTick"":false,""effectsPersistAfterDestruction"":false,""modType"":""System.Single"",""modValue"":""0.6"",""operation"":""Float_Multiply"",""statName"":""RunSpeed"",""targetAmmoCategory"":""NotSet"",""targetCollection"":""NotSet"",""targetWeaponCategory"":""NotSet"",""targetWeaponSubType"":""NotSet"",""targetWeaponType"":""NotSet""},""tagData"":null,""targetingData"":{""effectTargetType"":""NotSet"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":false,""showInTargetPreview"":false,""specialRules"":""NotSet"",""triggerLimit"":0},""vfxData"":null},{""Description"":{""Details"":""The Mech's cooling is impaired."",""Icon"":""uixSvgIcon_status_sensorsImpaired"",""Id"":""TSEMP-Effect3"",""Name"":""Cooling Impaired""},""actorBurningData"":null,""durationData"":{""clearedWhenAttacked"":false,""duration"":2,""stackLimit"":6,""ticksOnActivations"":true,""ticksOnEndOfRound"":false,""ticksOnMovements"":false,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""floatieData"":null,""instantModData"":null,""nature"":""Debuff"",""poorlyMaintainedEffectData"":null,""statisticData"":{""additionalRules"":""NotSet"",""appliesEachTick"":false,""effectsPersistAfterDestruction"":false,""modType"":""System.Single"",""modValue"":""1.5"",""operation"":""Float_Multiply"",""statName"":""HeatGenerated"",""targetAmmoCategory"":""NotSet"",""targetCollection"":""Weapon"",""targetWeaponCategory"":""NotSet"",""targetWeaponSubType"":""NotSet"",""targetWeaponType"":""NotSet""},""tagData"":null,""targetingData"":{""effectTargetType"":""SingleTarget"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":false,""showInTargetPreview"":false,""specialRules"":""NotSet"",""triggerLimit"":0},""vfxData"":null}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AC10,1,0,"Large caliber rounds capable of dealing heavy damage, and designed to be used in an AC/10.",null,Ammunition_AC10,AC/10 Ammo,false,0,STD,0,1,true,1,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AC10,1,0,"Large caliber rounds capable of dealing heavy damage, and designed to be used in an AC/10.",null,Ammunition_AC10_AP,AC/10 Ammo,false,0,AP,0,1,,1,Normal,,,,,,,,,,t0,5,"[{""C"":""#EE82EE"",""I"":5}]",,,,,0.5,10,1,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AC10,1,0,"Large caliber rounds capable of dealing heavy damage, and designed to be used in an AC/10.",null,Ammunition_AC10_Caseless,AC/10 Ammo,false,0,CL,0,1,,1,Normal,,,,,,,,,,t0,5,"[{""C"":""#FAED39"",""I"":5}]",,,,,,,,,0.9,0.12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AC10,1,0,"Large caliber rounds capable of dealing heavy damage, and designed to be used in an AC/10.",null,Ammunition_AC10_Flak,AC/10 Ammo,false,0,Flak,0,1,,1,Normal,,,,,,,,,,t0,5,"[{""C"":""#F3F34A"",""I"":5}]",,,,,,,2,,,,,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AC10,1,0,"Large caliber rounds capable of dealing heavy damage, and designed to be used in an AC/10.",null,Ammunition_AC10_Incendiary,AC/10 Ammo,false,0,Incendiary,0,1,,1,Normal,90,,,,,,,,,t0,5,"[{""C"":""#DC143C"",""I"":5}]",,0.24,24,"[{""Description"":{""Details"":""Reduce Heat Damage by 1%"",""Icon"":""uixSvgIcon_equipment_ThermalExchanger"",""Id"":""HeatDamageTakenSoftCapMultiplier"",""Name"":""Heat Damage SoftCap""},""durationData"":{""duration"":1,""stackLimit"":45,""ticksOnActivations"":true,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""nature"":""Buff"",""statisticData"":{""modType"":""System.Single"",""modValue"":""0.95"",""operation"":""Float_Multiply"",""statName"":""CACIncomingHeatMult""},""targetingData"":{""effectTargetType"":""NotSet"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":false,""showInTargetPreview"":false,""specialRules"":""NotSet"",""triggerLimit"":0}},{""Description"":{""Details"":""This unit is coated with burning chemicals."",""Icon"":""uixSvgIcon_biome_Heated"",""Id"":""Effect_InfernoRLHeat"",""Name"":""INFERNO""},""durationData"":{""clearedWhenAttacked"":false,""duration"":2,""stackLimit"":-1,""ticksOnActivations"":true,""ticksOnEndOfRound"":false,""ticksOnMovements"":false,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""nature"":""Debuff"",""statisticData"":{""modType"":""System.Int32"",""modValue"":""12"",""operation"":""Int_Subtract"",""statName"":""HeatSinkCapacity""},""targetingData"":{""effectTargetType"":""NotSet"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":true,""showInTargetPreview"":true,""specialRules"":""NotSet"",""triggerLimit"":0}}]",,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AC10Internal,1,0,"Large caliber rounds capable of dealing heavy damage, and designed to be used in an AC/10.",null,Ammunition_AC10_Internal,AC/10 Ammo,false,0,STD,0,1,true,1,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AC10,1,0,"Large caliber rounds capable of dealing heavy damage, and designed to be used in an AC/10.",null,Ammunition_AC10_Precision,AC/10 Ammo,false,0,Precision,0,1,,1,Normal,,,,,,,,,,t0,5,"[{""C"":""#0000CD"",""I"":5}]",,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AC2,1,0,Small caliber ammunition designed for long range fire in an AC/2.,null,Ammunition_AC2,AC/2 Ammo,false,0,STD,0,1,true,1,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
