AllowedLocations,AmmoID,BattleValue,BonusValueA,BonusValueB,Capacity,ComponentSubType,ComponentTags.items,ComponentTags.tagSetSourceFile,ComponentType,CriticalComponent,Custom.BonusDescriptions,Custom.Category,Custom.Flags,Custom.InventorySorter,Description.Cost,Description.Details,Description.Icon,Description.Id,Description.Manufacturer,Description.Model,Description.Name,Description.Purchasable,Description.Rarity,Description.UIName,DisallowedLocations,InventorySize,PrefabIdentifier,Tonnage,statusEffects,Custom.ComponentExplosion,Custom.Lootable,Custom.VolatileAmmo,Custom.TRGBColor,CanExplode,Custom.ColorChangeRule,Custom.RequiredCategory,Custom.Tag
All,Ammunition_RAPLBGR,0,,,40,Ammunition,"[""component_type_stock""]",,AmmunitionBox,false,"{""Bonuses"":[""RAPLBGRAmmo: 40"",""InertAmmo""]}","[{""CategoryID"":""a/a/g/raplbgr""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000028""}",50000,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. <b><color=#099ff2>Does not explode.</color></b>

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type</color> </b>",HAGR,Ammo_AmmunitionBox_RAPLBGR_GAUSS,Generic,GAUSS,Gauss Ammo,true,1,Ammo RAPLBGR Gauss,All,1,,1,[],,,,,,,,
All,Ammunition_RAPLBGR,0,,,96,Ammunition,"[""component_type_stock""]",,AmmunitionBox,false,"{""Bonuses"":[""Doubled"",""RAPLBGRAmmo: 96"",""InertAmmo""]}","[{""CategoryID"":""a/a/g/raplbgr""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000028""}",125000,"Doubled Ammo Bins replace one ammo bins feeding and storing mechanism to 25% more shots into one location. <b><color=#099ff2>Does not explode.</color></b>

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type</color> </b>",HAGR,Ammo_AmmunitionBox_RAPLBGR_GAUSS_double,Generic,GAUSS,Gauss Ammo,true,5,Ammo RAPLBGR Gauss [DBL],All,2,,2,[],,,,,,,,
All,Ammunition_RAPLBGR,0,,,20,Ammunition,"[""component_type_stock""]",,AmmunitionBox,false,"{""Bonuses"":[""RAPLBGRAmmo: 20"",""InertAmmo""]}","[{""CategoryID"":""a/a/g/raplbgr""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000028""}",33000,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. <b><color=#099ff2>Does not explode.</color></b>

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type</color> </b>",HAGR,Ammo_AmmunitionBox_RAPLBGR_GAUSS_half,Generic,GAUSS,Gauss Ammo,true,1,Ammo RAPLBGR Gauss [Half],All,1,,0.5,[],,,,,,,,
All,Ammunition_TBOLT20_NEMP,0,,,1,Ammunition,"[""component_type_stock""]",,AmmunitionBox,false,"{""Bonuses"":[""Haywire"",""ImpMove: 40%"",""ImpAccuracy: -2"",""ImpHeatSink: -50%"",""TboltDamage: -100"",""HeatDamage: +50"",""AreaOfEffect: 60"",""AreaOfEffectHeatDmg: +20"",""TBOLT20Ammo: 1""]}","[{""CategoryID"":""a/m/t/thunderbolt""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000049""}",5000000,"This Thunderbolt Missile was retooled to fire a specialized NEMP Warhead disabling everything around the impact. NEMP warhead is designed to be detonated above the Earth's surface. The explosion releases a blast of gamma rays, which scrambles electronics. 

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",thunderbolt,Ammo_AmmunitionBox_Thunderbolt_TB20_NEMP,Generic,Thermobolt,Thunderbolt 20 NEMP Ammo,true,20,Ammo TBM 20 NEMP,All,1,,1,"[{""Description"":{""Details"":""The Mech's Systems have been scrambled."",""Icon"":""uixSvgIcon_shipUpgrade_power2"",""Id"":""TSEMP-Effect"",""Name"":""TSEMP""},""actorBurningData"":null,""durationData"":{""clearedWhenAttacked"":false,""duration"":2,""stackLimit"":6,""ticksOnActivations"":true,""ticksOnEndOfRound"":false,""ticksOnMovements"":false,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""floatieData"":null,""instantModData"":null,""nature"":""Debuff"",""poorlyMaintainedEffectData"":null,""statisticData"":{""additionalRules"":""NotSet"",""appliesEachTick"":false,""effectsPersistAfterDestruction"":false,""modType"":""System.Single"",""modValue"":""2.0"",""operation"":""Float_Add"",""statName"":""AccuracyModifier"",""targetAmmoCategory"":""NotSet"",""targetCollection"":""NotSet"",""targetWeaponCategory"":""NotSet"",""targetWeaponSubType"":""NotSet"",""targetWeaponType"":""NotSet""},""tagData"":null,""targetingData"":{""effectTargetType"":""NotSet"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":true,""showInTargetPreview"":false,""specialRules"":""NotSet"",""triggerLimit"":0},""vfxData"":null},{""Description"":{""Details"":""The Mech's Movement is reduced."",""Icon"":""uixSvgIcon_status_sensorsImpaired"",""Id"":""TSEMP-Effect1"",""Name"":""Walk Impaired""},""actorBurningData"":null,""durationData"":{""clearedWhenAttacked"":false,""duration"":2,""stackLimit"":6,""ticksOnActivations"":true,""ticksOnEndOfRound"":false,""ticksOnMovements"":false,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""floatieData"":null,""instantModData"":null,""nature"":""Debuff"",""poorlyMaintainedEffectData"":null,""statisticData"":{""additionalRules"":""NotSet"",""appliesEachTick"":false,""effectsPersistAfterDestruction"":false,""modType"":""System.Single"",""modValue"":""0.6"",""operation"":""Float_Multiply"",""statName"":""WalkSpeed"",""targetAmmoCategory"":""NotSet"",""targetCollection"":""NotSet"",""targetWeaponCategory"":""NotSet"",""targetWeaponSubType"":""NotSet"",""targetWeaponType"":""NotSet""},""tagData"":null,""targetingData"":{""effectTargetType"":""NotSet"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":false,""showInTargetPreview"":false,""specialRules"":""NotSet"",""triggerLimit"":0},""vfxData"":null},{""Description"":{""Details"":""The Mech's Movement is reduced."",""Icon"":""uixSvgIcon_status_sensorsImpaired"",""Id"":""TSEMP-Effect2"",""Name"":""Move Impaired""},""actorBurningData"":null,""durationData"":{""clearedWhenAttacked"":false,""duration"":2,""stackLimit"":6,""ticksOnActivations"":true,""ticksOnEndOfRound"":false,""ticksOnMovements"":false,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""floatieData"":null,""instantModData"":null,""nature"":""Debuff"",""poorlyMaintainedEffectData"":null,""statisticData"":{""additionalRules"":""NotSet"",""appliesEachTick"":false,""effectsPersistAfterDestruction"":false,""modType"":""System.Single"",""modValue"":""0.6"",""operation"":""Float_Multiply"",""statName"":""RunSpeed"",""targetAmmoCategory"":""NotSet"",""targetCollection"":""NotSet"",""targetWeaponCategory"":""NotSet"",""targetWeaponSubType"":""NotSet"",""targetWeaponType"":""NotSet""},""tagData"":null,""targetingData"":{""effectTargetType"":""NotSet"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":false,""showInTargetPreview"":false,""specialRules"":""NotSet"",""triggerLimit"":0},""vfxData"":null},{""Description"":{""Details"":""The Mech's cooling is impaired."",""Icon"":""uixSvgIcon_status_sensorsImpaired"",""Id"":""TSEMP-Effect3"",""Name"":""Cooling Impaired""},""actorBurningData"":null,""durationData"":{""clearedWhenAttacked"":false,""duration"":2,""stackLimit"":6,""ticksOnActivations"":true,""ticksOnEndOfRound"":false,""ticksOnMovements"":false,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""floatieData"":null,""instantModData"":null,""nature"":""Debuff"",""poorlyMaintainedEffectData"":null,""statisticData"":{""additionalRules"":""NotSet"",""appliesEachTick"":false,""effectsPersistAfterDestruction"":false,""modType"":""System.Single"",""modValue"":""1.5"",""operation"":""Float_Multiply"",""statName"":""HeatGenerated"",""targetAmmoCategory"":""NotSet"",""targetCollection"":""Weapon"",""targetWeaponCategory"":""NotSet"",""targetWeaponSubType"":""NotSet"",""targetWeaponType"":""NotSet""},""tagData"":null,""targetingData"":{""effectTargetType"":""SingleTarget"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":false,""showInTargetPreview"":false,""specialRules"":""NotSet"",""triggerLimit"":0},""vfxData"":null}]","{""ExplosionDamagePerAmmo"":10,""HeatDamagePerAmmo"":100,""StabilityDamagePerAmmo"":10}",,,,,,,
All,Ammunition_LMG,0,,,10,Ammunition,"[""component_type_stock"",""BLACKLISTED""]",,AmmunitionBox,false,"{""Bonuses"":[""LMGAmmo: 10""]}","[{""CategoryID"":""a/a/o/mg""}]","{""flags"":[""not_broken"",""no_salvage""]}","{""SortKey"":""000031""}",1000,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E.

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",MachineGun,Ammo_AmmunitionBox_Generic_LMG_10shot,Generic,LMG,LMG Ammo (10 shots),true,1,Ammo LMG (10 shots),All,1,,0.1,[],"{""ExplosionDamagePerAmmo"":2,""StabilityDamagePerAmmo"":0.25}",,,,,,,
All,Ammunition_LMG,0,,,30,Ammunition,"[""component_type_stock"",""BLACKLISTED""]",,AmmunitionBox,false,"{""Bonuses"":[""LMGAmmo: 30""]}","[{""CategoryID"":""a/a/o/mg""}]","{""flags"":[""not_broken"",""no_salvage""]}","{""SortKey"":""000031""}",1000,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E.

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",MachineGun,Ammo_AmmunitionBox_Generic_LMG_30shot,Generic,LMG,LMG Ammo 30 shots,true,1,Ammo LMG 30 shots,All,1,,0.15,[],"{""ExplosionDamagePerAmmo"":2,""StabilityDamagePerAmmo"":0.25}",,,,,,,
All,Ammunition_MG,0,,,20,Ammunition,"[""component_type_stock"",""BLACKLISTED""]",,AmmunitionBox,false,"{""Bonuses"":[""MGAmmo: 20""]}","[{""CategoryID"":""a/a/o/mg""}]","{""flags"":[""not_broken"",""no_salvage""]}","{""SortKey"":""000032""}",10000,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Ammo Bins will explode and destroy their installed location when they receive a Critical Hit. 

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",MachineGun,Ammo_AmmunitionBox_Generic_MG_20shot,Generic,MG,MG Ammo (20 rounds),true,1,Ammo MG (20 rounds),All,1,,0.1,[],"{""ExplosionDamagePerAmmo"":4,""StabilityDamagePerAmmo"":0.5}",,,,,,,
All,Ammunition_SRM,0,,,5,Ammunition,"[""component_type_stock"",""BLACKLISTED""]",,AmmunitionBox,false,"{""Bonuses"":[""SRMAmmo: 5""]}","[{""CategoryID"":""a/m/s/srm""}]","{""flags"":[""not_broken"",""no_salvage""]}","{""SortKey"":""000037""}",500,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E. 

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",uixSvgIcon_ammoBox_Missile,Ammo_AmmunitionBox_Generic_SRM_5shot,Generic,SRM,SRM Ammo 5 shots,true,1,Ammo SRM 5 shots,All,1,,0.05,[],"{""ExplosionDamagePerAmmo"":8,""StabilityDamagePerAmmo"":2}",,,,,,,
All,Ammunition_LRM_Hydra,0,-25%Dmg&Stab|,+1 Heat Dmg.,200,Ammunition,"[""BLACKLISTED"",""component_type_variant""]",,AmmunitionBox,false,"{""Bonuses"":[""WpnAccuracy: -2"",""LRMDamage: -75%"",""HeatDamage: 1"",""AreaOfEffect: 45"",""AreaOfEffectDmg: 1"",""AreaOfEffectHeatDmg: 1"",""AlwaysStartsFireAnywhere"",""Range: -33%"",""ScatterRadius: 15, 120"",""MissileHP: 1"",""enCASEd"",""VolatileAmmo"",""LRMAmmo: 200""]}","[{""CategoryID"":""a/m/l/lrm""}]","{""flags"":[""not_broken"",""no_salvage"",""autorepair""]}","{""SortKey"":""00008""}",460000,"This Ammo bin contains the infamous 'Hydra' Missiles from the deep periphery, carrying a volatile payload of a High Explosive and Incendiary Materials. 

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",lrm,Quirk_AmmunitionBox_Hydra_LRM,Typhon,LRM-H,LRM Hydra Ammo,true,5,LRM Hydra Cased,All,2,,2,[],,"{""ItemID"":""Ammo_AmmunitionBox_Hydra_LRM""}",,,,,,
All,Ammunition_AntiMissile,0,,,200,Ammunition,"[""component_type_stock""]",,AmmunitionBox,false,"{""Bonuses"":[""AMSAmmo: 200""]}","[{""CategoryID"":""a/s/a/ams""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000032""}",10000,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Ammo Bins will explode and destroy their installed location when they receive a Critical Hit. 

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",AMS,Ammo_AmmunitionBox_AntiMissile,Generic,AMS,AMS Ammo,true,1,Ammo AMS,All,1,,1,[],"{""ExplosionDamagePerAmmo"":1,""StabilityDamagePerAmmo"":1}",,,,,,,
