AMSShootsEveryAttack,AOECapable,APArmorShardsMod,APCriticalChanceMultiplier,APMaxArmorThickness,AccuracyModifier,AllowedLocations,AmmoCategory,AttackRecoil,Auras,BattleValue,BonusValueA,BonusValueB,Category,ComponentSubType,ComponentTags.items,ComponentTags.tagSetSourceFile,ComponentType,CriticalChanceMultiplier,CriticalComponent,Custom.BonusDescriptions,Custom.Category,Custom.InventorySorter,Damage,DamageVariance,Description.Cost,Description.Details,Description.Icon,Description.Id,Description.Manufacturer,Description.Model,Description.Name,Description.Purchasable,Description.Rarity,Description.UIName,DisallowedLocations,EvasiveDamageMultiplier,EvasivePipsIgnored,HeatDamage,HeatGenerated,IndirectFireCapable,Instability,InventorySize,IsAAMS,IsAMS,MaxRange,MinRange,Modes,NotUseInMelee,OverheatedDamageMultiplier,PrefabIdentifier,ProjectilesPerShot,RangeSplit,RefireModifier,ShotsWhenFired,StartingAmmoCapacity,Tonnage,Type,WeaponEffectID,WeaponSubType,statusEffects,Custom.ArmorRepair,Custom.Color,Custom.Flags,Custom.Lootable,Custom.WorkOrderCosts,Custom.ComponentExplosion,DamageOnJamming,CantHitUnaffecedByPathing,Cooldown,deferredEffect.AOEDamage,deferredEffect.AOEInstability,deferredEffect.AOERange,deferredEffect.FireDurationWithoutForest,deferredEffect.FireTerrainCellRadius,deferredEffect.FireTerrainChance,deferredEffect.FireTerrainStrength,deferredEffect.RangeColor,deferredEffect.SFX,deferredEffect.VFX,deferredEffect.VFXtime,deferredEffect.damageApplyTime,deferredEffect.id,deferredEffect.rounds,deferredEffect.statusEffects,deferredEffect.statusEffectsRangeFalloff,deferredEffect.sticky,deferredEffect.text,deferredEffect.waitVFX,deferredEffect.AOEHeatDamage,deferredEffect.TerrainVFX,deferredEffect.TerrainVFXScale,deferredEffect.tempDesignMask,deferredEffect.tempDesignMaskCellRadius,deferredEffect.tempDesignMaskTurns,FireOnSuccessHit,FireTerrainChance,deferredEffect.tempDesignMaskOnImpactTurns,ColorChangeRule,ColorsTable,ImprovedBallistic,ClusteringModifier,FireDelayMultiplier,HitGenerator,BallisticDamagePerPallet,ColorSpeedChange,DamageNotDivided,Streak,evasivePipsMods.Damage,evasivePipsMods.GeneratedHeat,evasivePipsMods.Instablility,FlatJammingChance,GunneryJammingBase,GunneryJammingMult,ProjectileSpeedMultiplier,DistantVariance,DistantVarianceReversed,isDamageVariation,isHeatVariation,isStabilityVariation,weaponCategoryID,AbsoluteModifier,Custom.MechConfiguration,RelativeModifier,StatName,ArmorDamageModifier,ISDamageModifier,Custom.HandHeld,ammoCategoryID
true,false,0,0.5,1,0,All,NotSet,0,"[{""AllyStealthAffection"":""None"",""ApplySelf"":false,""EnemyStealthAffection"":""None"",""HideOnNotSelected"":true,""Id"":""AMS"",""IsPositiveToAlly"":false,""Name"":""AMS"",""Range"":10,""RemoveOnSensorLock"":false,""ReticleColor"":""#cc9900"",""State"":""Persistent""}]",0,,,AntiPersonnel,Weapon,"[""component_type_stock"",""range_close""]",,Weapon,1,false,"{""Bonuses"":[""LAMS"",""AdvAMS"",""AMSMULTI"",""AMSDmg: 2"",""AMSAcc: 30%"",""AMSShots: 25"",""AMSHeat: 16"",""OLAMSDmg: 3"",""OLAMSAcc: 50%"",""OLAMSShots: 50"",""OLAMSHeat: 32"",""OLAMSJam: 40%""]}","[{""CategoryID"":""AMS""},{""CategoryID"":""w/s/a/lams""}]","{""SortKey"":""00025""}",0,0,2350000,"With the advancements of AMS laser-based technology, this advanced version of the Clan Laser AMS is capable of protecting multiple units within range from missile salvos.  

 <b><color=#00ffff>Left Click on Chance to hit during battle to switch firing mode</color> </b>",AMS,Weapon_Laser_AMS_CLAN_Advanced,Clan Diamond Shark,Laser Fortress,Laser Anti Missile System,true,5,Advanced Laser AMS (C),All,0,0,0,16,false,0,3,true,true,330,0,"[{""AMSDamage"":2,""AMSHitChance"":0.3,""Id"":""On"",""ShotsWhenFired"":25,""UIName"":""On"",""isBaseMode"":true},{""AMSDamage"":3,""AMSHitChance"":0.5,""FlatJammingChance"":0.4,""GunneryJammingBase"":5,""GunneryJammingMult"":0.06,""HeatGenerated"":32,""Id"":""Overload"",""ShotsWhenFired"":50,""UIName"":""Overload"",""isBaseMode"":false},{""AMSHitChance"":0,""Id"":""Off"",""ShotsWhenFired"":0,""UIName"":""Off"",""isBaseMode"":false}]",true,0,AMS,1,"[90,180,270]",0,0,0,1,Laser,WeaponEffect-Weapon_Laser_Small,SmallLaser,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,false,0,0.5,1,0,All,NotSet,0,"[{""AllyStealthAffection"":""None"",""ApplySelf"":false,""EnemyStealthAffection"":""None"",""HideOnNotSelected"":true,""Id"":""AMS"",""IsPositiveToAlly"":false,""Name"":""AMS"",""Range"":10,""RemoveOnSensorLock"":false,""ReticleColor"":""#cc9900"",""State"":""Persistent""}]",45,,,AntiPersonnel,Weapon,"[""component_type_stock"",""range_close""]",,Weapon,1,false,"{""Bonuses"":[""LAMS"",""AMSSINGLE"",""AMSDmg: 2"",""AMSAcc: 30%"",""AMSShots: 10"",""AMSHeat: 6"",""OLAMSMULTI"",""OLAMSDmg: 3"",""OLAMSShots: 15"",""OLAMSHeat: 18"",""OLAMSJam: 40%"",""OLAMSRange: 90"",""AMSDirectSLAS""]}","[{""CategoryID"":""AMS""},{""CategoryID"":""w/s/a/lams""}]","{""SortKey"":""00025""}",0,0,430000,"The Laser Anti-Missile System (LAMS) is an advanced variation of the standard Anti-Missile Systems. While the standard system utilizes a machine gun linked to specialized tracking systems, the LAMS uses a Small Pulse Laser, ensuring that the system never runs out of ammunition.  

 <b><color=#00ffff>Left Click on Chance to hit during battle to switch firing mode</color> </b>",AMS,Weapon_Laser_AMS,DS Aero,Beamsplitter,LAMS,true,5,Laser AMS,All,0,0,0,6,false,0,2,,,120,0,"[{""AMSDamage"":2,""AMSHitChance"":0.3,""AMSShootsEveryAttack"":false,""Id"":""On"",""IsAMS"":true,""ShotsWhenFired"":10,""UIName"":""On"",""isBaseMode"":true},{""AMSDamage"":3,""AMSHitChance"":0.3,""AMSShootsEveryAttack"":true,""FlatJammingChance"":0.4,""GunneryJammingBase"":5,""GunneryJammingMult"":0.06,""HeatGenerated"":12,""Id"":""Overload"",""IsAMS"":true,""MaxRange"":90,""ShotsWhenFired"":15,""UIName"":""Overload"",""isBaseMode"":false},{""AMSHitChance"":0,""Id"":""Off"",""ShotsWhenFired"":0,""UIName"":""Off"",""isBaseMode"":false},{""DamagePerShot"":15,""FlatJammingChance"":0.1,""GunneryJammingBase"":5,""GunneryJammingMult"":0.015,""HeatGenerated"":10,""Id"":""Laser"",""ShotsWhenFired"":0,""UIName"":""Laser"",""isBaseMode"":false}]",,0,AMS,1,"[90,90,90]",0,0,0,1.5,Laser,WeaponEffect-Weapon_Laser_Small,SmallLaser,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,false,0,0.5,1,0,CenterTorso,NotSet,0,"[{""AllyStealthAffection"":""None"",""ApplySelf"":false,""EnemyStealthAffection"":""None"",""HideOnNotSelected"":true,""Id"":""AMS"",""IsPositiveToAlly"":true,""Name"":""AMS"",""Range"":10,""RemoveOnSensorLock"":false,""ReticleColor"":""#800000"",""State"":""Persistent""}]",0,,,Energy,Weapon,"[""BLACKLISTED"",""component_type_stock"",""range_close""]",,Weapon,1,false,"{""Bonuses"":[""ArmorTPCost: 30%"",""ArmorCBCost: 40%"",""LAMS"",""AdvAMS"",""AMSMULTI"",""AMSDmg: 2"",""AMSAcc: 30%"",""AMSShots: 10"",""AMSHeat: 10"",""OLAMSDmg: 3"",""OLAMSAcc: 40%"",""OLAMSShots: 20"",""OLAMSHeat: 20"",""OLAMSJam: 50%"",""OLAMSRange: 180""]}","[{""CategoryID"":""AMS""},{""CategoryID"":""Armor""},{""CategoryID"":""w/s/a/lams""}]","{""SortKey"":""00025""}",0,0,530000,"This unique Armor has an Integrated LAMS Prototype, capable to defend its owner and allies from the majority of Missile Attacks made during Battle. 

 <b><color=#00ffff>Left Click on Chance to hit during battle to switch firing mode</color> </b>",AMS,Weapon_Laser_AMS_Apollo,Eris Ent.,Clean-Sweep,LAMS,true,99,Integrated Advanced Laser AMS,All,0,0,0,10,false,0,3,true,true,180,0,"[{""AMSDamage"":2,""AMSHitChance"":0.3,""Id"":""On"",""ShotsWhenFired"":10,""UIName"":""On"",""isBaseMode"":true},{""AMSDamage"":3,""AMSHitChance"":0.4,""FlatJammingChance"":0.5,""GunneryJammingBase"":5,""GunneryJammingMult"":0.075,""HeatGenerated"":10,""Id"":""Overload"",""MaxRange"":180,""ShotsWhenFired"":20,""UIName"":""Overload"",""isBaseMode"":false},{""AMSHitChance"":0,""Id"":""Off"",""ShotsWhenFired"":0,""UIName"":""Off"",""isBaseMode"":false}]",true,0,AMS,1,"[120,140,160]",0,0,0,2.5,Laser,WeaponEffect-Weapon_Laser_Medium,SmallLaser,[],"{""ArmorCBCost"":1.4,""ArmorTPCost"":1.3}","{""UIColor"":""Gold""}","{""flags"":[""default"",""not_broken"",""no_salvage"",""autorepair""]}","{""ItemID"":""Weapon_Laser_AMS_Integrated""}","{""Install"":{""CBillCost"":""2000 * [[Chassis.Tonnage]] * [[Chassis.Tonnage]] / 50"",""TechCost"":""1.5 * [[Chassis.Tonnage]] / 13""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,false,0,0.5,1,0,All,NotSet,0,"[{""AllyStealthAffection"":""None"",""ApplySelf"":false,""EnemyStealthAffection"":""None"",""HideOnNotSelected"":true,""Id"":""AMS"",""IsPositiveToAlly"":false,""Name"":""AMS"",""Range"":10,""RemoveOnSensorLock"":false,""ReticleColor"":""#cc9900"",""State"":""Persistent""}]",45,,,AntiPersonnel,Weapon,"[""component_type_stock"",""range_close""]",,Weapon,1,false,"{""Bonuses"":[""AMS"",""AMSSINGLE"",""AMSDmg: 2"",""AMSAcc: 35%"",""AMSShots: 15"",""AMSHeat: 8"",""OLAMSMULTI"",""OLAMSDmg: 4"",""OLAMSShots: 20"",""OLAMSHeat: 22"",""OLAMSJam: 30%"",""AMSDirectMLAS""]}","[{""CategoryID"":""AMS""},{""CategoryID"":""w/s/a/lams""}]","{""SortKey"":""00025""}",0,0,430000,"The Laser Anti-Missile System (LAMS) is an advanced variation of the standard Anti-Missile Systems. While the standard system utilizes a machine gun linked to specialized tracking systems, the LAMS uses a Small Pulse Laser, ensuring that the system never runs out of ammunition.  

 <b><color=#00ffff>Left Click on Chance to hit during battle to switch firing mode</color> </b>",AMS,Weapon_Laser_AMS_CLAN,DS Aero,Beamsplitter,Clan LAMS,true,5,Laser AMS (C),All,0,0,0,6,false,0,1,,,150,0,"[{""AMSDamage"":2,""AMSHitChance"":0.35,""AMSShootsEveryAttack"":false,""HeatGenerated"":8,""Id"":""On"",""IsAMS"":true,""ShotsWhenFired"":15,""UIName"":""On"",""isBaseMode"":true},{""AMSDamage"":4,""AMSHitChance"":0.35,""AMSShootsEveryAttack"":true,""FlatJammingChance"":0.3,""GunneryJammingBase"":5,""GunneryJammingMult"":0.045,""HeatGenerated"":22,""Id"":""Overload"",""IsAMS"":true,""ShotsWhenFired"":20,""UIName"":""Overload"",""isBaseMode"":false},{""AMSHitChance"":0,""Id"":""Off"",""ShotsWhenFired"":0,""UIName"":""Off"",""isBaseMode"":false},{""DamagePerShot"":25,""FlatJammingChance"":0.1,""GunneryJammingBase"":5,""GunneryJammingMult"":0.015,""HeatGenerated"":15,""Id"":""Laser"",""ShotsWhenFired"":0,""UIName"":""Laser"",""isBaseMode"":false}]",true,0,AMS,1,"[90,100,110]",0,0,0,1,Laser,WeaponEffect-Weapon_Laser_Small,SmallLaser,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,false,0,0.5,1,0,CenterTorso,NotSet,0,"[{""AllyStealthAffection"":""None"",""ApplySelf"":false,""EnemyStealthAffection"":""None"",""HideOnNotSelected"":true,""Id"":""AMS"",""IsPositiveToAlly"":true,""Name"":""AMS"",""Range"":10,""RemoveOnSensorLock"":false,""ReticleColor"":""#800000"",""State"":""Persistent""}]",0,,,AntiPersonnel,Weapon,"[""component_type_stock"",""range_close""]",,Weapon,1,false,"{""Bonuses"":[""LAMS"",""ArmorTPCost: 20%"",""ArmorCBCost: 30%"",""AMSMULTI"",""AMSDmg: 2"",""AMSAcc: 35%"",""AMSShots: 15"",""AMSHeat: 6"",""OLAdvAMS"",""OLAMSDmg: 4"",""OLAMSAcc: 40%"",""OLAMSShots: 20"",""OLAMSHeat: 24"",""OLAMSJam: 40%"",""OLAMSRange: 90""]}","[{""CategoryID"":""AMS""},{""CategoryID"":""Armor""},{""CategoryID"":""w/s/a/lams""}]","{""SortKey"":""00025""}",0,0,430000,"This Armor carries an Integrated Laser Anti Missile, pocketing the mech with many smaller Laser system to grant a improved interception  

 <b><color=#00ffff>Left Click on Chance to hit during battle to switch firing mode</color> </b>",AMS,Weapon_Laser_AMS_Integrated,Janesek Ind.,Light Shield-1,Int. LAMS,true,5,Integrated Laser AMS,All,0,0,0,8,false,0,2,,true,160,0,"[{""AMSDamage"":2,""AMSHitChance"":0.35,""Id"":""On"",""ShotsWhenFired"":15,""UIName"":""On"",""isBaseMode"":true},{""AMSDamage"":4,""AMSHitChance"":0.4,""FlatJammingChance"":0.4,""GunneryJammingBase"":5,""GunneryJammingMult"":0.06,""HeatGenerated"":16,""Id"":""Overload"",""IsAAMS"":true,""MaxRange"":90,""ShotsWhenFired"":20,""UIName"":""Overload"",""isBaseMode"":false},{""AMSHitChance"":0,""Id"":""Off"",""ShotsWhenFired"":0,""UIName"":""Off"",""isBaseMode"":false}]",true,0,AMS,1,"[90,90,90]",0,0,0,1,Laser,WeaponEffect-Weapon_Laser_Small,SmallLaser,[],"{""ArmorCBCost"":1.3,""ArmorTPCost"":1.2}","{""UIColor"":""Gold""}",,,"{""Install"":{""CBillCost"":""2000 * [[Chassis.Tonnage]] * [[Chassis.Tonnage]] / 50"",""TechCost"":""1.5 * [[Chassis.Tonnage]] / 13""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,false,0,0.5,1,0,All,NotSet,0,"[{""AllyStealthAffection"":""None"",""ApplySelf"":false,""EnemyStealthAffection"":""None"",""HideOnNotSelected"":true,""Id"":""AMS"",""IsPositiveToAlly"":true,""Name"":""AMS"",""Range"":10,""RemoveOnSensorLock"":false,""ReticleColor"":""#800000"",""State"":""Persistent""}]",0,,,AntiPersonnel,Weapon,"[""component_type_stock"",""range_close""]",,Weapon,1,false,"{""Bonuses"":[""LAMS"",""AdvAMS"",""AMSMULTI"",""AMSDmg: 2"",""AMSAcc: 20%"",""AMSShots: 20"",""AMSHeat: 13"",""OLAMSDmg: 4"",""OLAMSAcc: 40%"",""OLAMSShots: 40"",""OLAMSHeat: 26"",""AMSDirectPLAS"",""ExplodiumFlat: 15%"",""WeaponBoom: 50""]}","[{""CategoryID"":""AMS""},{""CategoryID"":""w/s/a/lams""}]","{""SortKey"":""00025""}",0,0,1110000,"Where do you get this Crap, Boss? This was a LAMS from a WLF-1X, but they slapped a APDS tracking system in it, hotwired a capacitor into it and jury rigged the lensing system of what looks to be Large Pulse Laser into this.....  

 <b><color=#00ffff>Left Click on Chance to hit during battle to switch firing mode</color> </b>",AMS,Weapon_Laser_AMS_Pirate,DS Aero,LIGHTSHOW!,Jury Rigged LAMS,true,15,Laser AMS (PRT),All,0,0,0,13,false,0,4,,,350,0,"[{""AMSDamage"":2,""AMSHitChance"":0.2,""FlatJammingChance"":0.15,""GunneryJammingBase"":4,""GunneryJammingMult"":0.02,""Id"":""On"",""IsAAMS"":true,""IsAMS"":true,""ShotsWhenFired"":20,""UIName"":""On"",""isBaseMode"":true},{""AMSDamage"":4,""AMSHitChance"":0.4,""FlatJammingChance"":0.4,""GunneryJammingBase"":5,""GunneryJammingMult"":0.03,""HeatGenerated"":13,""Id"":""Overload"",""IsAAMS"":true,""IsAMS"":true,""ShotsWhenFired"":40,""UIName"":""Overload"",""isBaseMode"":false},{""AMSHitChance"":0,""Id"":""Off"",""ShotsWhenFired"":0,""UIName"":""Off"",""isBaseMode"":false},{""DamagePerShot"":50,""FlatJammingChance"":0.12,""GunneryJammingBase"":5,""GunneryJammingMult"":0.018,""HeatGenerated"":45,""Id"":""Laser"",""ShotsWhenFired"":1,""UIName"":""Laser"",""isBaseMode"":false}]",true,0,AMS,1,"[110,200,290]",0,0,0,5,Laser,WeaponEffect-Weapon_Laser_Large,SmallLaser,[],,,,,,"{""ExplosionDamage"":50}",true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,false,0,0.5,1,0,All,NotSet,0,"[{""AllyStealthAffection"":""None"",""ApplySelf"":false,""EnemyStealthAffection"":""None"",""HideOnNotSelected"":true,""Id"":""AMS"",""IsPositiveToAlly"":true,""Name"":""AMS"",""Range"":10,""RemoveOnSensorLock"":false,""ReticleColor"":""#800000"",""State"":""Persistent""}]",0,,,AntiPersonnel,Weapon,"[""BLACKLISTED"",""component_type_stock"",""range_close""]",,Weapon,1,false,"{""Bonuses"":[""LAMS"",""AdvAMS"",""AMSMULTI"",""AMSDmg: 2"",""AMSAcc: 30%"",""AMSShots: 10"",""AMSHeat: 10"",""OLAMSDmg: 3"",""OLAMSAcc: 40%"",""OLAMSShots: 20"",""OLAMSHeat: 20"",""OLAMSJam: 60%"",""OLAMSRange: 180""]}","[{""CategoryID"":""AMS""},{""CategoryID"":""w/s/a/lams""}]","{""SortKey"":""00025""}",0,0,530000,"The Laser Anti-Missile System (LAMS) is an advanced variation of the standard Anti-Missile Systems. While the standard system utilizes a machine gun linked to specialized tracking systems, the LAMS uses a Small Pulse Laser, ensuring that the system never runs out of ammunition.  

 <b><color=#00ffff>Left Click on Chance to hit during battle to switch firing mode</color> </b>",AMS,Weapon_Laser_AMS_Prototype,Mc Arthur,Laser-X,Laser AMS,true,99,Proto Laser AMS,All,0,0,0,10,false,0,3,true,true,180,0,"[{""AMSDamage"":2,""AMSHitChance"":0.3,""Id"":""On"",""ShotsWhenFired"":10,""UIName"":""On"",""isBaseMode"":true},{""AMSDamage"":3,""AMSHitChance"":0.4,""FlatJammingChance"":0.6,""GunneryJammingBase"":5,""GunneryJammingMult"":0.09,""HeatGenerated"":10,""Id"":""Overload"",""MaxRange"":180,""ShotsWhenFired"":20,""UIName"":""Overload"",""isBaseMode"":false},{""AMSHitChance"":0,""Id"":""Off"",""ShotsWhenFired"":0,""UIName"":""Off"",""isBaseMode"":false}]",true,0,AMS,1,"[120,140,160]",0,0,0,2.5,Laser,WeaponEffect-Weapon_Laser_Medium,SmallLaser,[],,,"{""flags"":[""not_broken"",""no_salvage"",""autorepair""]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,false,0.1,0.002,1.2,0,All,NotSet,1,,0,Target Painter,,AntiPersonnel,Weapon,"[""component_type_stock"",""range_long""]",,Weapon,0,false,"{""Bonuses"":[""AreaOfEffect: 75"",""AreaOfEffectDmg: 100"",""AreaOfEffectSTABDmg: 50"",""NoAA"",""WpnCooldown: 3""]}","[{""CategoryID"":""w/s/t/tag""},{""CategoryID"":""OffBoardTAG""}]","{""SortKey"":""04003""}",1,0,1210000,This TAG is hardwired to nearby Arrow IV Support carriers and calls in a precision strike,LightTAG,Weapon_Laser_TAG_AIV,RISC,Target Acquisition Gear,TAG,false,15,TAG Arrow IV,All,0,0,0,0,false,0,1,,,610,0,,true,0,Laser,1,"[210,420,530]",0,1,0,1,Laser,WeaponEffect-Weapon_TAG,SmallLaserER,[],,,"{""flags"":[""not_broken"",""not_destroyed""]}",,,,,true,3,100,50,75,0,7,0.1,15,"{""C"":""#00FF00"",""I"":1.5}",big_explosion,WFX_Nuke,10,2,BARRAGE,1,[],true,true,Barrage Incoming,vfxPrfPrtl_artillerySmokeSignal_loop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,false,0.1,0.002,1.2,0,All,NotSet,1,,0,Target Painter,,AntiPersonnel,Weapon,"[""component_type_stock"",""range_long""]",,Weapon,1,false,"{""Bonuses"":[""AreaOfEffect: 60"",""AreaOfEffectDmg: 60"",""AreaOfEffectSTABDmg: 30"",""AreaOfEffectHeatDmg: 20"",""AlwaysStartsFireAnywhere"",""FireTerrainSize: 24"",""FireTerrainDuration: 2"",""FireTerrainStrength: 6"",""DesignMask: RoughTerrain"",""NoAA"",""WpnCooldown: 3"",""DelayedImpact: 2""]}","[{""CategoryID"":""w/s/t/tag""},{""CategoryID"":""OffBoardTAG""}]","{""SortKey"":""04003""}",1,0,1210000,This TAG was rewired to call on supporting Fire from nearby Artillery to Shell the target with a selection of munitions,LightTAG,Weapon_Laser_TAG_Barrage,NAIS,Target Acquisition Gear,TAG,false,15,TAG Barrage,All,0,0,0,0,false,0,1,,,600,0,,true,0,Laser,1,"[150,300,450]",0,1,0,1,Laser,WeaponEffect-Weapon_TAG,SmallLaserER,[],,,"{""flags"":[""not_broken""]}",,,,,true,3,60,30,60,2,6,1,6,"{""C"":""#00FF00"",""I"":1.5}",big_explosion,vfxPrfPrtl_artilleryImpact_barrage,10,4,BARRAGE,2,[],true,true,Barrage Incoming,vfxPrfPrtl_artillerySmokeSignal_loop,20,vfxPrfPrtl_terrainLavaCracks_loop,"{""x"":1,""y"":1,""z"":1}",DesignMaskRough,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,false,0.1,0.002,1.2,0,All,NotSet,1,,0,Target Painter,,AntiPersonnel,Weapon,"[""component_type_stock"",""range_long"",""BLACKLISTED""]",,Weapon,1,false,"{""Bonuses"":[""AreaOfEffect: 100"",""AreaOfEffectDmg: 150"",""AreaOfEffectSTABDmg: 75"",""AreaOfEffectHeatDmg: 50"",""AlwaysStartsFireAnywhere"",""FireTerrainSize: 32"",""FireTerrainDuration: 2"",""FireTerrainStrength: 10"",""DesignMask: Radiation"",""PPCDEBUFF: 3"",""NoAA"",""WpnCooldown: 4"",""DelayedImpact: 3""]}","[{""CategoryID"":""w/s/t/tag""},{""CategoryID"":""OffBoardTAG""}]","{""SortKey"":""04003""}",1,0,1210000,This TAG was rewired to call on supporting Fire from a orbiting Dropship to fire a naval PPC on the target area,LightTAG,Weapon_Laser_TAG_Orbital,NAIS,Target Acquisition Gear,TAG,false,15,TAG Orbital,All,0,0,0,0,false,0,1,,,600,0,,true,0,Laser,1,"[150,300,450]",0,1,0,1,Laser,WeaponEffect-Weapon_TAG,SmallLaserER,[],,,"{""flags"":[""not_broken"",""no_salvage"",""autorepair""]}",,,,,true,4,150,50,100,2,8,0.75,10,"{""C"":""#00FF00"",""I"":1.5}",play_orbital_ppc,vfxPrfPrtl_orbitalPPC_oneshot,10,6,Orbital,3,"[{""Description"":{""Details"":""EM Interference reduces sensor efficiency."",""Icon"":""uixSvgIcon_status_sensorsImpaired"",""Id"":""AbilityDefPPC"",""Name"":""SENSORS IMPAIRED""},""durationData"":{""clearedWhenAttacked"":false,""duration"":2,""stackLimit"":-1,""ticksOnActivations"":true,""ticksOnEndOfRound"":false,""ticksOnMovements"":false,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""nature"":""Debuff"",""statisticData"":{""modType"":""System.Int32"",""modValue"":""3"",""operation"":""Int_Add"",""statName"":""LV_ECM_JAMMED""},""targetingData"":{""effectTargetType"":""NotSet"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":true,""showInTargetPreview"":false,""specialRules"":""NotSet"",""triggerLimit"":0}}]",true,true,Naval PPC,vfxPrfPrtl_artillerySmokeSignal_loop,50,vfxPrfPrtl_terrainLavaCracks_loop,"{""x"":1,""y"":1,""z"":1}",DesignMaskFallout,12,,true,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
